Nome,Preço_Sócio,Preço_Normal,Pontuação,Avaliações
Calyptra Vivendo Reserve D.O. Alto Cachapoal V C 2018,54.33,63.92,5.0,3
Espumante Fantinel One & Only Rosé Brut 2018,69.7,82.0,5.0,4
Salentein Killka Chardonnay 2019,69.9,82.24,,
Baron Philippe de Rothschild Cadet d'Oc Pinot Noir 2017,51.41,60.48,3.5,3
Baron Philippe de Rothschild Cadet d'Oc Chardonnay 2017,51.41,60.48,,
Baron Philippe de Rothschild Cadet d'Oc Cabernet Sauvignon 2017,51.41,60.48,,
Costa Lusa Reserva Tinto 2017,33.22,39.08,4.0,1
Infame Reserva Red Blend 2018,45.84,53.93,4.5,6
WineBox Singulares,205.52,241.78,,
Bridlewood Monterey County Chardonnay 2016,86.27,101.49,3.0,1
Bridlewood Monterey County Pinot Noir 2015,86.27,101.49,4.0,4
Famille J-M Cazes A.O.C. Saint-Estèphe 2015,272.0,320.0,,
Esteban Martín Reserva D.O.P. Cariñena 2014,45.2,53.17,4.5,65
Ropiteau Frères Bourgogne Hautes-Côtes de Nuits 2014,158.9,186.94,2.0,2
Ropiteau Frères A.O.C. Meursault Blanc 2015,370.58,435.98,,
Quinta De Pancas Branco 2017,54.25,63.82,5.0,2
Château Vieux Dominique Réserve A.O.C. Bordeaux Supérieur 2013,58.82,69.2,3.5,11
Burmester D.O.C. Douro Branco 2017,53.2,62.58,3.0,1
La Mora D.O.C. Maremma Toscana Merlot 2015,64.94,76.4,3.0,2
Barahonda Campo Arriba Old Vines 2015,76.51,90.01,4.5,21
Champagne La Grande Dame 2008,1346.58,1584.21,,
Calyptra Vivendo Reserve Rosé 2018,54.33,63.92,4.5,18
Latitud 33° Mendoza Chardonnay 2019,59.77,70.32,,
Terrazas de los Andes Reserva Torrontés 2018,115.78,136.21,,
Torre Matilde Molin Novo I.G.T. Toscana Rosso 2015,58.73,69.09,3.5,11
Altivo Vineyard Selection Cabernet Sauvignon 2017,42.1,49.53,3.5,15
Alvarez de Toledo Roble D.O. Bierzo Mencía 2013,55.12,64.84,2.5,63
WineBox Agradáveis,99.88,117.5,,
La Chamiza Reserve Polo Profesional Cabernet Sauvignon 2017,49.74,58.52,4.5,3
Chateau Moser XV Blanc de Noir 2018,53.2,62.58,4.0,16
Changyu Reserve Noble Dragon Blanc 2017,39.73,46.74,3.0,27
Château Puy-Blanquet A.O.C. Saint-Émilion Grand Cru 2011,254.45,299.35,4.0,1
Frisante Porta Soprana D.O.C. Lambrusco di Sorbara Tinto Meio Seco,37.8,44.47,4.0,38
Changyu Reserve Noble Dragon Red 2016,38.2,44.94,3.5,41
Toro Loco Reserva Barricas D.O. Utiel-Requena 2014,61.53,72.39,4.5,18
Nederburg 56 Hundred Pinot Noir 2017,28.86,33.95,4.0,56
Protos D.O. Rueda Verdejo 2018,69.93,82.27,4.0,2
Navaldar D.O.Ca. Rioja Blanco 2017,59.93,70.5,,
Espumante J. Raventós Roig D.O. Cava Brut,55.23,64.98,5.0,6
La Chamiza Reserve Polo Profesional Malbec 2017,49.74,58.52,4.5,28
Espumante Fantinel D.O.C. Prosecco Extra Dry,55.93,65.8,4.5,182
Beni di Batasiolo Sovrana D.O.C. Barbera d`Alba 2017,80.17,94.32,4.5,3
Domaines Henri Maire A.O.C. Arbois Trousseau 2017,85.61,100.72,3.0,15
WineBox Maison Bouachon Les Rabassières,158.7,219.9,,
La Combe D´Or Chardonnay 2018,35.29,41.52,3.0,2
Sutil Limited Release Valle de Colchagua Carmenère 2017,120.59,141.87,4.0,14
Canepa Novísimo Merlot 2019,27.13,31.92,3.5,3
N° 3 d`Angélus 2014,442.0,520.0,,
Miguel Torres Noches de Verano Reserva País 2016,51.9,61.06,4.0,20
Château La Mission A.O.C. Lalande-de-Pomerol 2011,216.58,254.8,,
Champagne La Grande Dame Rosé 2004,2281.9,2684.59,,
Sutil Limited Release Valle de Maipo Cabernet Sauvignon 2017,120.59,141.87,4.0,20
Tenuta SantAntonio Fontana D.O.C. Soave 2018,75.41,88.72,,
Alqueve Tinto 2017,36.65,43.12,,
Calyptra Gran Reserva Cabernet Sauvignon 2015,139.9,164.59,3.0,3
Viñedo de Los Vientos Arneis Chardonnay 2016,53.48,62.92,4.0,7
Pavillon Saint Pierre Réserve 2016,47.94,56.4,4.0,45
Boissy & Delaygue Lou Pontías A.O.C. Côtes du Rhône 2016,61.2,72.0,3.5,3
Enclos du Wine Hunter A.O.C. Bordeaux Rouge 2018,66.9,78.7,4.5,16
Fortant de France Terroir Littoral Sauvignon Blanc 2018,49.54,58.28,5.0,3
Artefacto Tinto 2017,46.13,54.28,4.0,12
Fleur du Cap Essence du Cap Shiraz 2016,58.69,69.04,4.0,15
Fantinel Refosco Borgo Tesis DOC Grave 2015,65.8,77.41,4.0,4
Espumante Real De Aragón D.O. Cava Rosé Brut,59.91,70.48,4.0,57
Jiménez-Landi Bajondillo D.O. Méntrida 2017,56.38,66.33,4.5,8
Chateau Langlet A.O.C. Graves Blanc 2015,110.32,129.79,3.0,1
Ropiteau Frères Nuits-St-Georges Rouge 2014,411.9,484.59,4.0,1
Fantinel Friulano Borgo Tesis Doc Friuli Branco 2017,67.77,79.72,,
Fleur du Cap Essence du Cap Chenin Blanc 2017,64.19,75.52,4.5,11
Ropiteau Frères A.O.C. Gevrey-Chambertin Rouge 2014,402.9,474.0,,
Batasiolo Sunsi Bianco Langhe DOC 2018,63.17,74.32,4.0,2
Pauillac De Lynch-Bages 2015,295.68,347.86,,
Alonso López D.O.C.a Rioja Blanco Malvasía Viura 2018,53.9,63.41,4.5,22
Jean-Pierre Moueix A.O.C. Pomerol 2015,222.32,261.55,,
Ropiteau Frères A.O.C. Puligny-Montrachet Blanc 2016,489.9,576.35,,
Tintorera D.O.P. Alicante Bouschet Monastrell 2016,173.53,204.15,4.5,14
Bon Mas D.O.Q. Priorat 2017,173.53,204.15,4.0,15
Reclos de La Couronne 2014,160.38,188.69,,
Château Capitoul Oros A.O.C. La Clape Rouge 2016,102.76,120.89,4.0,8
Les Tours de La Rivière A.O.C. Fronsac 2016,95.13,111.92,3.5,3
Fleur du Cap Essence du Cap Pinotage 2016,64.19,75.52,3.5,6
Viñedo de los Vientos Anarkia Tannat 2017,70.77,83.26,3.0,9
Taça de Cristal Borgonha Schott Zwiesel Ivento 783 ml,43.69,51.4,4.5,8
Finca Traversa Tannat 2018,24.73,29.1,4.0,35
Finca Ventura D.O.P. Jumilla Garnacha 2018,29.45,34.65,4.0,6
Infame Reserva Cabernet Sauvignon 2017,42.78,50.33,4.0,13
Lucky you Cabernet 2018,24.95,29.35,3.5,35
Las Torres Reserva Cabernet Sauvignon 2016,44.18,51.98,4.0,33
Garriguette Tinto,27.38,32.22,3.5,12
Fortant de France Terroir d'Altitude Cabernet Sauvignon 2016,74.95,88.18,,
It´s Wine O´Clock Cabernet 2018,24.91,29.3,3.5,22
Kinast K Barrel Reserva Chardonnay 2018,43.45,51.12,4.5,27
Mise de la Baronnie A.O.C. Pauillac 2015,210.9,248.12,,
Tenuta Sant`Antonio Scaia Bianco 2017,61.53,72.39,4.5,50
Las Mercedes Remix 2017,158.27,186.2,,
Champagne Veuve Clicquot Brut,438.9,516.35,5.0,2
Godello Luna Beberide Bierzo D.O. Branco 2017,105.42,124.02,2.5,3
Chant du Coq Sélection Jean Vincent Bideau 2016,83.53,98.27,4.5,68
Champagne Moët & Chandon Impérial Brut,387.03,455.33,5.0,4
Oxford Landing Cabernet Shiraz 2016,57.75,67.94,3.0,3
Oxford Landing Shiraz 2017,57.75,67.94,3.0,1
Montado Branco 2018,41.41,48.72,,
Casas del Toqui Coastal Series Reserva Sauvignon Blanc 2017,67.83,79.8,5.0,1
Finca La Daniela Cabernet Sauvignon 2017,57.46,67.6,,
Familia Barberis Cabernet Sauvignon 2017,67.92,79.9,,
Pionero Mundi D.O Rías Baixas Albariño 2017,82.03,96.5,4.0,1
Roques Mauriac A.O.C. Bordeaux 2017,47.37,55.73,4.5,10
Cent'Are I.G.P. Terre Siciliane Nero d'Avola 2015,49.9,58.71,4.0,12
Chateau Fongaban 2016,129.61,152.48,3.0,1
Sagrado D.O.C. Douro Rosé 2016,86.96,102.3,,
Viñedo de los Vientos Estival 2018,53.65,63.12,5.0,3
Oxford Landing Estates Pinot Grigio 2018,57.75,67.94,,
Champagne Montaudon Brut Magnum,422.9,497.53,4.0,7
Zenithwirl Cabernet Sauvignon 2018,31.7,37.29,3.0,39
Pueblo Del Sol Reserva Viognier 2018,55.09,64.81,,
Nederburg 56 Hundred Chenin Blanc 2018,28.86,33.95,4.0,29
Espumante Louis Bouillot Rosé Brut,61.74,72.64,4.5,108
Viña Carrasco Sauvignon Blanc 2018,24.58,28.92,3.0,2
Zenithwirl Cabernet Gernischt 2018,31.7,37.29,3.0,44
Alqueve Branco 2017,34.9,41.06,3.5,3
Champagne Montaudon 375ml,112.84,132.75,4.0,5
Domaine de Cibadiès Le Jardin Chardonnay 2016,89.53,105.33,4.0,14
Apothic Dark 2016,76.42,89.9,4.5,13
Apothic Crush 2016,76.42,89.9,5.0,12
Château de La Rivière A.O.C. Fronsac 2016,200.9,236.35,,
