wine,link,pontuação,avaliações,volume
Espumante Chevalier Blanc de Noirs Brut,https://wine.com.br/vinhos/espumante-chevalier-blanc-de-noirs-brut/prod22546.html,,(11),750.00 ml
Champagne Veuve Clicquot Vintage Brut 2008,https://wine.com.br/vinhos/champagne-veuve-clicquot-vintage-brut-2008/prod22497.html,,,750.00 ml
Secreto Eterno Sauvignon Blanc 2018,https://wine.com.br/vinhos/secreto-eterno-sauvignon-blanc-2018/prod22549.html,,(4),750.00 ml
Latitud 33° Mendoza Chardonnay 2018,https://wine.com.br/vinhos/latitud-33-mendoza-chardonnay-2018/prod22612.html,,,750.00 ml
Secreto Eterno Cabernet Sauvignon 2018,https://wine.com.br/vinhos/secreto-eterno-cabernet-sauvignon-2018/prod22548.html,,(22),750.00 ml
La Manda Sauvignon Blanc 2018,https://wine.com.br/vinhos/la-manda-sauvignon-blanc-2018/prod22523.html,,,750.00 ml
Viña Concha y Toro Nuevo Extremo Cabernet Sauvignon 2018,https://wine.com.br/vinhos/vina-concha-y-toro-nuevo-extremo-cabernet-sauvignon-2018/prod22519.html,,(4),750.00 ml
Secreto Eterno Carménère 2018,https://wine.com.br/vinhos/secreto-eterno-carmenere-2018/prod22547.html,,(10),750.00 ml
Pueblo del Sol Roble Cabernet Sauvignon 2017,https://wine.com.br/vinhos/pueblo-del-sol-roble-cabernet-sauvignon-2017/prod22362.html,,(9),750.00 ml
Pueblo del Sol Reserva Chardonnay 2018,https://wine.com.br/vinhos/pueblo-del-sol-reserva-chardonnay-2018/prod22360.html,,(1),750.00 ml
Viña Concha y Toro Nuevo Extremo Carménère 2018,https://wine.com.br/vinhos/vina-concha-y-toro-nuevo-extremo-carmenere-2018/prod22520.html,,,750.00 ml
Cellier des Dauphins Signature Cru A.O.C. Cairanne 2017,https://wine.com.br/vinhos/cellier-des-dauphins-signature-cru-a-o-c-cairanne-2017/prod22365.html,,(7),750.00 ml
Maycas del Limarí Quebrada Seca Chardonnay 2015,https://wine.com.br/vinhos/maycas-del-limari-quebrada-seca-chardonnay-2015/prod22349.html,,(6),750.00 ml
Cavalo Bravo Private Selection Branco 2017,https://wine.com.br/vinhos/cavalo-bravo-private-selection-branco-2017/prod22367.html,,(32),750.00 ml
